Empresa,Score,Categoría,Website,LinkedIn,Email,Email Verificado,Ubicación,Industria,Tamaño,Decision-Maker,Buy Signals,Fuente,Última Actividad,Notas
Transportes Nuevos Andes,67,HOT,https://transportesnuevosandes.com,No encontrado,gerencia@transportesnuevosandes.com,No,Bogotá Colombia,Transporte escolar,PyME ~15-30 empleados,Gerencia (email directo),Flota activa de buses escolares en Bogotá; email directo a gerencia,Google Search,2025,Tel: (+571) 621 2120 · WhatsApp: 320 835 0601
Glo Trans MM,65,HOT,https://glotransmm.com,No encontrado,info@glotransmm.com,No,Cll 163B #48-80 Of.306 Bogotá,Transporte escolar,PyME,No encontrado,Flota de vehículos escolares activa; dirección física + email + WhatsApp publicados,Google Search,2025,Tel: (1) 3002316 · WhatsApp: 318 795 6237
AllTour SAS,62,HOT,https://alltoursas.com,No encontrado,contactenos@alltoursas.com,No,Clle 166 #8F-93 Piso 3° Bogotá,Transporte especial escolar y turismo,PyME mediana,No encontrado,Flota de buses para colegios turismo y empresas; múltiples contactos activos,Google Search,2025,Tel: +57 1 678 73 86 · Cel: 311 532 13 77
Transportadora Estrella SAS,57,HOT,https://transestrella.com,https://linkedin.com/company/estrella-logistics,servicioalcliente@transestrella.com,No,"Medellín, Bogotá, Cali",Transporte de carga terrestre,Mediana empresa flota propia,No encontrado,Flota propia en múltiples ciudades colombianas; email de servicio al cliente activo,Google Search / LinkedIn,2025,Tel MDE: 604-527 3300
Renting Automayor,52,HOT,https://rentingautomayor.com,No confirmado,Formulario web,No,"Cra 14 #81-19 Of.605, Bogotá",Renting de vehículos para empresas y PyMEs,PyME,No encontrado,Flota propia de vehículos en arrendamiento — seguro obligatorio; atiende PyMEs directamente,Google Search,2025,Tel: +601 691 4303
Aeroexpresos Rusantur SAS,49,WARM,https://aeroexpresos.net,No encontrado,No encontrado,No,Bogotá Colombia,Transporte escolar empresarial y turismo,PyME 7 años,No encontrado,Operación nacional; múltiples tipos de flota,Google Search,2025,Tel: (1) 703 2020
AS Transportes,47,WARM,https://astransportes.com.co,No confirmado,Formulario web,No,Colombia cobertura nacional,Transporte especial y carga,Mediana 20+ años,No encontrado,Transporte especial empresarial; 20 años en el mercado,Google Search,2025,
Distribuidora El Criollo,47,WARM,https://distribuidoraelcriollo.com,No confirmado,Formulario web,No,Colombia,Distribución alimentos secos frescos congelados,PyME mediana 25+ vehículos,No encontrado,Flota propia de 25+ vehículos refrigerados y secos,Google Search,2025,Bodega 5000 m² + 1000 m² frigorífico
Estrene Carro PyME,47,WARM,https://estrenecarropyme.com,No confirmado,Formulario web,No,Colombia,Renting y leasing vehicular para empresas,PyME 10 años,No encontrado,Gestiona flotas para PyMEs — seguro de vehículos implícito,Google Search,2025,Única marca con renting propio para PyMEs según web
TLC Logistics SAS,45,WARM,No confirmado,https://www.linkedin.com/company/tlc-transporte-y-logistica-de-colombia-,No encontrado,No,Colombia,Transporte internacional y logística,PyME 9 años 735 seguidores LinkedIn,Buscar en LinkedIn,Empresa de transporte y logística activa en LinkedIn,LinkedIn Search,2025,
Ditransa,42,WARM,No confirmado,https://es.linkedin.com/company/ditransa,No encontrado,No,Colombia,Transporte carga seca y refrigerada a granel,Desde 1994 empresa establecida,Buscar en LinkedIn,Carga a granel desde 1994,LinkedIn Search,2025,
Transportes Especiales CJD Ltda,40,WARM,https://transportesespecialescjd.com,No encontrado,No encontrado,No,Bogotá Colombia,Transporte escolar empresarial y turismo,PyME,No encontrado,Especialistas en transporte especial escolar,Google Search,2025,
Chef Market Colombia,37,WARM,https://chefmarketcolombia.com,No confirmado,Formulario web,No,"Cundinamarca, Tolima, Magdalena, La Guajira",Distribución alimentos masivos y especializados,Mediana empresa fundada 1974,No encontrado,Distribución en 4 departamentos de Colombia,Google Search,2025,Fundada 1974
Proandina,37,WARM,https://proandina.com,No confirmado,Formulario web,No,Colombia,Distribución consumo masivo,44 años 4000+ puntos atendidos,No encontrado,Distribución masiva flota nacional,Google Search,2025,
CARGA SAS,37,WARM,https://carga.com.co,No confirmado,Formulario web / app,No,Colombia,Plataforma digital de carga,4000+ transportadores en red,No encontrado,Plataforma de carga con app propia,Google Search,2025,
Seturcol,35,WARM,https://seturcol.com.co,No confirmado,Formulario web,No,Colombia,Transporte de pasajeros,PyME,No encontrado,,Google Search,2025,
Logística Total SAS,30,WARM,No encontrado,https://co.linkedin.com/company/logistica-total-sas,No encontrado,No,Colombia,Logística y transporte,No encontrado,Buscar en LinkedIn,,LinkedIn Search,2025,
MCT SAS,25,COLD,No encontrado,https://co.linkedin.com/company/mct-sas,No encontrado,No,Colombia,Transporte y servicios,No encontrado,Buscar en LinkedIn,,LinkedIn Search,2025,
Soluciones Logísticas TCL,25,COLD,No encontrado,https://co.linkedin.com/company/soluciones-logisticas-tcl,No encontrado,No,Colombia,Operador logístico industrial y comercial,No encontrado,Buscar en LinkedIn,,LinkedIn Search,2025,
Cootraescal,22,COLD,https://cootraescal.com,No encontrado,No encontrado,No,"Medellín, Colombia",Cooperativa transporte escolar,Cooperativa,No encontrado,,Google Search,2025,
